Sequence	Result
ADLMDDC.ASHL	CLEAVED
ADLMDEC.ASHL	CLEAVED
ADVFQPC.ASHL	CLEAVED
AVEIEVC.ASHL	CLEAVED
ANTWTTC.ASHL	CLEAVED
AVEIEDC.ASHL	CLEAVED
AVEIEEC.ASHL	CLEAVED
ARMWIPC.ASHL	CLEAVED
AHSLWTC.ASHL	CLEAVED
APSNMAC.ASHL	CLEAVED
AHQYHTC.ASHL	CLEAVED
AISVIPC.ASHL	CLEAVED
ATSFTQC.ASHL	CLEAVED
AFSTAPC.ASHL	CLEAVED
ANQTSHC.ASHL	CLEAVED
ADLMDVC.ASHL	CLEAVED
APRSMYC.ASHL	CLEAVED
ANHAYPC.ASHL	CLEAVED
ATAQVCC.ASHL	CLEAVED
ARPMSLC.ASHL	CLEAVED
AQDVQPC.ASHL	CLEAVED
AVSTNFC.ASHL	CLEAVED
ALKVHTC.ASHL	CLEAVED
AMSLQTC.ASHL	CLEAVED
ACYWTYC.ASHL	CLEAVED
ATRTLDC.ASHL	CLEAVED
ASDYDLC.ASHL	CLEAVED
AQNQVNC.ASHL	CLEAVED
AKCNIPC.ASHL	CLEAVED
AHKTEPC.ASHL	CLEAVED
ADYMYLC.ASHL	CLEAVED
ASQALLC.ASHL	CLEAVED
ADYMYDC.ASHL	CLEAVED
ADYMYEC.ASHL	CLEAVED
ADYMYYC.ASHL	CLEAVED
AHTWDAC.ASHL	CLEAVED
ADYMYVC.ASHL	CLEAVED
AVEFEEC.ASHL	CLEAVED
AATKNCC.ASHL	CLEAVED
ATYEVGC.ASHL	CLEAVED
APSQYLC.ASHL	CLEAVED
ADLHIPC.ASHL	CLEAVED
ADNDYNC.ASHL	CLEAVED
ADYMFEC.ASHL	CLEAVED
AASNMNC.ASHL	CLEAVED
AEVRTRC.ASHL	CLEAVED
AITQITC.ASHL	CLEAVED
ADAQMCC.ASHL	CLEAVED
ATNTNLC.ASHL	CLEAVED
ASSMQQC.ASHL	CLEAVED
AQLCRPC.ASHL	CLEAVED
AQGISLC.ASHL	CLEAVED
AQSFYPC.ASHL	CLEAVED
AAYTINC.ASHL	CLEAVED
AHQVFPC.ASHL	CLEAVED
ALTTLAC.ASHL	CLEAVED
ARETSLC.ASHL	CLEAVED
AQSMQPC.ASHL	CLEAVED
AQTTLSC.ASHL	CLEAVED
AAKVQLC.ASHL	CLEAVED
AQTMWDC.ASHL	CLEAVED
APNQISC.ASHL	CLEAVED
APNQILC.ASHL	CLEAVED
APALSAC.ASHL	CLEAVED
AFDIVYC.ASHL	CLEAVED
AYTHNNC.ASHL	CLEAVED
AHTFNPC.ASHL	CLEAVED
ALLFPMC.ASHL	CLEAVED
AYYLVDC.ASHL	CLEAVED
AEETKPC.ASHL	CLEAVED
ARTTTEC.ASHL	CLEAVED
AHNQYPC.ASHL	CLEAVED
ANRYTNC.ASHL	CLEAVED
AGMPIPC.ASHL	CLEAVED
APNLTNC.ASHL	CLEAVED
APNLTYC.ASHL	CLEAVED
AATLIGC.ASHL	CLEAVED
ANALTQC.ASHL	CLEAVED
ANALTIC.ASHL	CLEAVED
APTLTPC.ASHL	CLEAVED
APTLTDC.ASHL	CLEAVED
AGELTIC.ASHL	CLEAVED
ARDSTLC.ASHL	CLEAVED
ALTAELC.ASHL	CLEAVED
AHYSQTC.ASHL	CLEAVED
ASHTRLC.ASHL	CLEAVED
ASTMQNC.ASHL	CLEAVED
AKTQICC.ASHL	CLEAVED
AHYTITC.ASHL	CLEAVED
AHYTIVC.ASHL	CLEAVED
ALRIFPC.ASHL	CLEAVED
AMHINNC.ASHL	CLEAVED
AVLMDDC.ASHL	CLEAVED
ATSLDPC.ASHL	CLEAVED
ADEMVYC.ASHL	CLEAVED
AYTTEQC.ASHL	CLEAVED
ADDMFDC.ASHL	CLEAVED
ADDMFEC.ASHL	CLEAVED
ADDMFYC.ASHL	CLEAVED
ATTIINC.ASHL	CLEAVED
AKHSIYC.ASHL	CLEAVED
ADEMVVC.ASHL	CLEAVED
AQETAPC.ASHL	CLEAVED
ANMYYPC.ASHL	CLEAVED
ASQCLKC.ASHL	CLEAVED
ANNLDYC.ASHL	CLEAVED
ASYQTPC.ASHL	CLEAVED
ATELFYC.ASHL	CLEAVED
APATLTC.ASHL	CLEAVED
ASLSVLC.ASHL	CLEAVED
AEAITSC.ASHL	CLEAVED
ACNTISC.ASHL	CLEAVED
ATLLTLC.ASHL	CLEAVED
ATLLTPC.ASHL	CLEAVED
ATNAVPC.ASHL	CLEAVED
AVDMLVC.ASHL	CLEAVED
AVDMLDC.ASHL	CLEAVED
ANTYWKC.ASHL	CLEAVED
AHYITNC.ASHL	CLEAVED
AHYITEC.ASHL	CLEAVED
AHNTQPC.ASHL	CLEAVED
AHNTQLC.ASHL	CLEAVED
AHNTQHC.ASHL	CLEAVED
AQTPIPC.ASHL	CLEAVED
ASYLTAC.ASHL	CLEAVED
AYELEDC.ASHL	CLEAVED
AYELEVC.ASHL	CLEAVED
AEYMEDC.ASHL	CLEAVED
AQSLRPC.ASHL	CLEAVED
AHKLTAC.ASHL	CLEAVED
AHKLTMC.ASHL	CLEAVED
AFDLDYC.ASHL	CLEAVED
AYTIMQC.ASHL	CLEAVED
ADFIYYC.ASHL	CLEAVED
ADFIYDC.ASHL	CLEAVED
ADFIYFC.ASHL	CLEAVED
AETLRCC.ASHL	CLEAVED
APSIEIC.ASHL	CLEAVED
ATGPEFC.ASHL	CLEAVED
ATSHVNC.ASHL	CLEAVED
AFIAEYC.ASHL	CLEAVED
APSVHTC.ASHL	CLEAVED
ASIIDNC.ASHL	CLEAVED
AVYLDYC.ASHL	CLEAVED
AVYLDEC.ASHL	CLEAVED
ATNELQC.ASHL	CLEAVED
AHEPILC.ASHL	CLEAVED
AETIFAC.ASHL	CLEAVED
ANNVRPC.ASHL	CLEAVED
APRVSLC.ASHL	CLEAVED
AMICNDC.ASHL	CLEAVED
AAKAILC.ASHL	CLEAVED
AVSLEQC.ASHL	CLEAVED
ADRETQC.ASHL	CLEAVED
ANIPTPC.ASHL	CLEAVED
AKYTTTC.ASHL	CLEAVED
AELLMTC.ASHL	CLEAVED
ATLDLPC.ASHL	CLEAVED
AESHCNC.ASHL	CLEAVED
ALTLLPC.ASHL	CLEAVED
ADQMEDC.ASHL	CLEAVED
ADQMEEC.ASHL	CLEAVED
ADFIDYC.ASHL	CLEAVED
AVEMVVC.ASHL	CLEAVED
AANNIIC.ASHL	CLEAVED
AVEMVEC.ASHL	CLEAVED
AVEMVDC.ASHL	CLEAVED
AVKTQNC.ASHL	CLEAVED
AIKTMLC.ASHL	CLEAVED
AIQTVSC.ASHL	CLEAVED
ADDLEDC.ASHL	CLEAVED
ADDLEEC.ASHL	CLEAVED
AQQSQAC.ASHL	CLEAVED
ADDLEVC.ASHL	CLEAVED
AESPQNC.ASHL	CLEAVED
AYVIEVC.ASHL	CLEAVED
ALFMYPC.ASHL	CLEAVED
ANTTLLC.ASHL	CLEAVED
AGTVYCC.ASHL	CLEAVED
ATNLKPC.ASHL	CLEAVED
ALQTQNC.ASHL	CLEAVED
AVYTQHC.ASHL	CLEAVED
AYSAPSC.ASHL	CLEAVED
ACNIEYC.ASHL	CLEAVED
AKIWQNC.ASHL	CLEAVED
ARQTTPC.ASHL	CLEAVED
APEDIEC.ASHL	CLEAVED
ARSIVAC.ASHL	CLEAVED
ALSQQPC.ASHL	CLEAVED
AFYLYYC.ASHL	CLEAVED
ASAWHHC.ASHL	CLEAVED
AFYLYDC.ASHL	CLEAVED
ASNHIHC.ASHL	CLEAVED
ADKCYTC.ASHL	CLEAVED
AYTLTTC.ASHL	CLEAVED
AKTTTNC.ASHL	CLEAVED
ATSTTIC.ASHL	CLEAVED
AERAQPC.ASHL	CLEAVED
AIDTTEC.ASHL	CLEAVED
AYLGIQC.ASHL	CLEAVED
ADYMADC.ASHL	CLEAVED
AETMQPC.ASHL	CLEAVED
AHTLNPC.ASHL	CLEAVED
AICPVQC.ASHL	CLEAVED
ADYLEVC.ASHL	CLEAVED
ADYLEYC.ASHL	CLEAVED
AVYTLAC.ASHL	CLEAVED
ADYLEEC.ASHL	CLEAVED
ADYLEDC.ASHL	CLEAVED
ADSCVNC.ASHL	CLEAVED
AYTQTPC.ASHL	CLEAVED
APTTYQC.ASHL	CLEAVED
ANRFHTC.ASHL	CLEAVED
ADEMHDC.ASHL	CLEAVED
AHTIHSC.ASHL	CLEAVED
APSDLAC.ASHL	CLEAVED
ARWTANC.ASHL	CLEAVED
ALVLSTC.ASHL	CLEAVED
ATNNSNC.ASHL	CLEAVED
ARYNSPC.ASHL	CLEAVED
AATYLPC.ASHL	CLEAVED
AQFMQPC.ASHL	CLEAVED
ADSTTLC.ASHL	CLEAVED
AQSMLSC.ASHL	CLEAVED
ATLQAPC.ASHL	CLEAVED
AFYLDDC.ASHL	CLEAVED
APILMTC.ASHL	CLEAVED
AVHSVIC.ASHL	CLEAVED
ATNTVTC.ASHL	CLEAVED
ATNTVSC.ASHL	CLEAVED
ASSMIVC.ASHL	CLEAVED
ADDFLDC.ASHL	CLEAVED
AQTTTPC.ASHL	CLEAVED
ASPHYRC.ASHL	CLEAVED
APGYQTC.ASHL	CLEAVED
AICPKMC.ASHL	CLEAVED
ASVWMTC.ASHL	CLEAVED
ATISDLC.ASHL	CLEAVED
AHTTLQC.ASHL	CLEAVED
AHTTLAC.ASHL	CLEAVED
ARYTANC.ASHL	CLEAVED
AHTTLKC.ASHL	CLEAVED
ANRSITC.ASHL	CLEAVED
ATNNHAC.ASHL	CLEAVED
ADLQQPC.ASHL	CLEAVED
AAQTANC.ASHL	CLEAVED
ADVIDVC.ASHL	CLEAVED
APSLTVC.ASHL	CLEAVED
APSLTWC.ASHL	CLEAVED
ADVIDDC.ASHL	CLEAVED
ADVIDEC.ASHL	CLEAVED
APSLTLC.ASHL	CLEAVED
AMSYTKC.ASHL	CLEAVED
AYALSNC.ASHL	CLEAVED
APELTPC.ASHL	CLEAVED
APIPRLC.ASHL	CLEAVED
ADHTPRC.ASHL	CLEAVED
AVDIVYC.ASHL	CLEAVED
AVDIVDC.ASHL	CLEAVED
AVDIVEC.ASHL	CLEAVED
ADSRVQC.ASHL	CLEAVED
APKLTEC.ASHL	CLEAVED
APKLTPC.ASHL	CLEAVED
APKLTQC.ASHL	CLEAVED
